Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-pcor-mii.json	12816	-	0	0	0	0	0	0	14	69	0	0	0	0	0	0	0	0	0	0	27	122	373	0	0	0	0	6	0	3
fsh-generated/resources/CodeSystem-dem-antwort.json	860	3	0	0	2	0	0	0	0	9	0	0	1	0	1	0	0	0	0	0	12	19	151	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-beziehungsstatus.json	565	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	11	98	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-einkommen.json	941	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	12	11	87	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-erwerbsstatus.json	1319	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	12	14	83	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-geschlecht.json	864	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	12	10	79	0	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-dem-haeufigkeit-5.json	801	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	12	13	62	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-isced-de.json	1490	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	13	68	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-leichtigkeit-6.json	926	2	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	11	11	59	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-rentenstatus.json	677	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	12	9	57	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-urbanizitaet.json	693	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	9	71	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-zigaretten-band.json	651	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	11	56	0	0	0	0	1	0	0
