Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-pcor-mii.json	17775	-	0	0	0	0	0	0	24	80	0	0	0	0	0	0	0	1	0	0	27	169	348	0	0	0	0	7	0	5
fsh-generated/resources/CodeSystem-dem-antwort.json	860	3	0	0	2	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	10	13	157	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-beziehungsstatus.json	565	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	12	105	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-einkommen.json	941	1	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	10	13	99	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-erwerbsstatus.json	1319	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	17	91	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-geschlecht.json	864	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	15	78	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-haeufigkeit-5.json	801	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	7	13	71	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-isced-de.json	1490	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	7	18	72	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-leichtigkeit-6.json	926	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	14	64	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-rentenstatus.json	677	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	12	66	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-urbanizitaet.json	693	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	7	11	67	0	0	0	0	1	0	0
