Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-pcor-mii.json	13350	-	0	0	0	0	0	0	13	78	0	0	0	0	1	0	0	1	0	0	26	111	458	0	0	0	0	10	0	3
fsh-generated/resources/CodeSystem-dem-antwort.json	860	3	0	0	2	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	14	11	147	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-beziehungsstatus.json	565	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	7	107	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-einkommen.json	941	1	0	0	0	0	0	0	1	7	0	0	0	0	1	0	0	0	0	0	14	9	99	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-erwerbsstatus.json	1319	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	14	11	90	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-geschlecht.json	864	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	18	7	81	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-haeufigkeit-5.json	801	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	17	8	79	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-isced-de.json	1490	2	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	11	10	75	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-leichtigkeit-6.json	926	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	9	72	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-rentenstatus.json	677	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	6	8	72	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-urbanizitaet.json	693	2	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	4	8	71	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-zigaretten-band.json	651	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	8	67	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-pcor-example-general-health.json	1125	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	8	66	0	0	0	0	0	0	0
fsh-generated/resources/Patient-pcor-mii-exa-patient.json	138	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	3	13	0	0	0	1	0	0	0
fsh-generated/resources/Questionnaire-DEM.json	14413	5	0	0	0	0	0	0	2	816	0	0	0	0	0	0	0	1	0	0	6	114	187	0	0	0	0	10	0	1
fsh-generated/resources/Questionnaire-PcorExampleQuestionnaire.json	2610	2	0	0	0	0	0	0	1	28	0	0	0	0	1	0	0	0	0	0	6	33	56	0	0	0	0	3	0	0
fsh-generated/resources/QuestionnaireResponse-DEMResponse.json	9151	4	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	6	81	106	0	0	0	0	0	0	1
fsh-generated/resources/ValueSet-dem-beziehungsstatus-vs.json	1072	2	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	6	10	300	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-einkommen-vs.json	1580	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	10	111	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-erwerbsstatus-vs.json	2612	2	1	0	0	0	0	0	1	8	0	0	0	0	1	0	0	0	0	0	13	13	111	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-geschlecht-vs.json	1501	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	10	100	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-haeufigkeit-5-vs.json	1519	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	9	113	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-dem-isced-vs.json	2365	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	11	95	0	0	1	0	1	0	0
fsh-generated/resources/ValueSet-dem-ja-nein-ka-vs.json	1491	1	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	6	9	90	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-ja-nein-nz-vs.json	1480	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	7	95	0	0	0	0	1	0	1
fsh-generated/resources/ValueSet-dem-ja-nein.json	1199	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	10	83	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-dem-leichtigkeit-6-vs.json	1776	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	11	85	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-rentenstatus-vs.json	1352	2	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	2	9	80	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-urbanizitaet-vs.json	1354	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	9	83	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-dem-zigaretten-band-vs.json	1331	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	11	83	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-pcor-example-general-health.json	591	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	8	74	0	0	0	0	0	0	0
input/examples/QuestionnaireResponse-pcor-mii-exa-example-response.json	1909	2	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	35	35	0	0	0	0	0	0	0
input/examples/QuestionnaireResponse-pcor-mii-exa-promis-16-response.json	4010	3	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	3	80	41	0	0	0	0	0	0	0
input/examples/QuestionnaireResponse-pcor-mii-exa-promis-cognitive-function-response.json	1761	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	21	18	0	0	0	0	0	0	0
/input/includes/template-page-md.html	2327	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
