Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-pcor-mii.json	17749	-	0	0	0	0	0	0	16	83	0	0	0	0	0	0	0	1	0	0	26	181	315	0	0	0	0	6	0	1
fsh-generated/resources/CodeSystem-dem-antwort.json	860	4	0	0	2	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	14	16	147	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-beziehungsstatus.json	565	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	12	100	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-einkommen.json	941	1	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	15	15	96	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-erwerbsstatus.json	1319	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	19	86	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-geschlecht.json	864	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	14	13	76	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-haeufigkeit-5.json	801	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	12	70	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-isced-de.json	1490	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	14	16	69	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-leichtigkeit-6.json	926	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	15	11	67	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-rentenstatus.json	677	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	12	62	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-urbanizitaet.json	693	1	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	11	12	59	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-zigaretten-band.json	651	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	9	63	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mhi-an-subtyp.json	937	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	10	13	68	0	0	0	0	0	0	0
