Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-pcor-mii.json	10857	-	0	0	0	0	0	1	17	75	0	0	0	0	1	0	0	0	0	0	27	129	261	0	0	0	0	5	0	3
fsh-generated/resources/CodeSystem-dem-antwort.json	860	3	0	0	2	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	12	13	171	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-beziehungsstatus.json	565	2	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	11	11	125	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-einkommen.json	941	1	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	10	16	106	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-erwerbsstatus.json	1319	2	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	10	19	95	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-geschlecht.json	864	1	0	0	1	0	0	0	0	4	0	0	0	0	1	0	0	1	0	0	9	13	87	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-haeufigkeit-5.json	801	2	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	10	12	80	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-isced-de.json	1490	1	0	0	0	0	0	0	1	5	0	0	0	0	1	0	0	0	0	0	9	17	68	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-leichtigkeit-6.json	926	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	10	14	60	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-rentenstatus.json	677	2	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	9	13	62	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-urbanizitaet.json	693	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	11	11	51	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-zigaretten-band.json	651	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	11	11	53	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-DEM.json	14413	5	0	0	0	0	0	0	2	828	0	0	0	0	0	0	0	0	0	0	14	223	159	0	0	1	0	9	0	0
fsh-generated/resources/Questionnaire-PcorExampleQuestionnaire.json	2685	4	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	12	52	49	0	0	0	0	2	0	1
fsh-generated/resources/ValueSet-dem-beziehungsstatus-vs.json	1072	2	0	0	0	0	0	0	0	75	0	0	0	0	1	0	0	0	0	0	10	14	274	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-dem-einkommen-vs.json	1580	2	0	0	0	0	0	0	1	6	0	0	0	0	1	0	0	0	0	0	10	17	97	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-erwerbsstatus-vs.json	2612	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	27	109	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-dem-geschlecht-vs.json	1501	2	0	0	1	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	8	17	86	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-haeufigkeit-5-vs.json	1519	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	18	80	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-isced-vs.json	2365	2	0	0	0	0	0	0	1	5	0	0	0	0	1	0	0	0	0	0	8	22	90	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-dem-ja-nein-ka-vs.json	1491	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	15	84	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-ja-nein-nz-vs.json	1480	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	8	14	80	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-ja-nein.json	1199	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	7	11	72	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-dem-leichtigkeit-6-vs.json	1776	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	19	76	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-rentenstatus-vs.json	1352	2	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	5	15	75	0	0	0	0	0	0	0
